id,time_baca,time_blatchington,time_cardinal_n,time_ds,time_hove_park,time_kings,time_longhill,time_paca,time_patcham,time_varndean,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,geometry,long,lat
BN1 1BX,39,48,29,38,38,54,56,44,43,32,cardinal_n,varndean,ds,29,32,38,56,29,42.1,"c(-0.142956, 50.822554)",-0.142956,50.822554
BN1 1BY,39,48,29,38,38,54,56,44,43,32,cardinal_n,varndean,ds,29,32,38,56,29,42.1,"c(-0.142956, 50.822554)",-0.142956,50.822554
BN1 1BZ,39,48,29,38,38,54,56,44,43,32,cardinal_n,varndean,ds,29,32,38,56,29,42.1,"c(-0.142956, 50.822554)",-0.142956,50.822554
BN1 1DA,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1DB,42,48,26,45,37,54,56,48,45,38,cardinal_n,hove_park,varndean,26,37,38,56,26,43.9,"c(-0.146071, 50.827793)",-0.146071,50.827793
BN1 1DD,39,48,29,38,38,54,56,44,43,32,cardinal_n,varndean,ds,29,32,38,56,29,42.1,"c(-0.142956, 50.822554)",-0.142956,50.822554
BN1 1DE,37,47,30,37,37,53,47,43,41,32,cardinal_n,varndean,baca,30,32,37,53,30,40.4,"c(-0.141573, 50.821633)",-0.141573,50.821633
BN1 1DF,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140647, 50.822778)",-0.140647,50.822778
BN1 1DG,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1DH,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140647, 50.822778)",-0.140647,50.822778
BN1 1DJ,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1DL,36,43,28,35,34,50,46,41,39,31,cardinal_n,varndean,hove_park,28,31,34,50,28,38.3,"c(-0.140564, 50.822741)",-0.140564,50.822741
BN1 1DN,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140947, 50.822729)",-0.140947,50.822729
BN1 1DP,33,47,29,32,37,53,40,43,35,29,cardinal_n,varndean,ds,29,29,32,53,29,37.8,"c(-0.138327, 50.82186)",-0.138327,50.82186
BN1 1DQ,39,48,26,39,37,54,58,47,42,34,cardinal_n,varndean,hove_park,26,34,37,58,26,42.4,"c(-0.142778, 50.827048)",-0.142778,50.827048
BN1 1DR,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140662, 50.82277)",-0.140662,50.82277
