pcds,oa21,pcd,pcd2,lsoa21,msoa21,oseast1m,osnrth1m,household_count,person_count,pcd_oa_hh_prop,pcd_oa_pers_prop,total_hh,married_couple_dependent_ch,cohabiting_couple_dependent_ch,lone_parent_dependent_ch,other_hh_dependent_ch,all_dependent_ch_hh,prop_hh_dependent_ch,x2021_output_area,total_dep_ch_0_18,asian_dep_ch_0_18,black_dep_ch_0_18,mixed_dep_ch_0_18,white_dep_ch_0_18,other_dep_ch_0_18,non_white_dep_ch_0_18,pcd_dep_ch_hh_count,pcd_dep_ch_hh_count_round,pcd_dep_ch_0_18_total_count,pcd_dep_ch_0_18_white_count,pcd_dep_ch_0_18_non_white_count,postcode_status,lsoa_code,lsoa_name,index_of_multiple_deprivation_rank,index_of_multiple_deprivation_decile,income_rank,income_decile,income_score,employment_rank,employment_decile,employment_score,education_and_skills_rank,education_and_skills_decile,health_and_disability_rank,health_and_disability_decile,crime_rank,crime_decile,barriers_to_housing_services_rank,barriers_to_housing_services_decile,living_environment_rank,living_environment_decile,idaci_rank,idaci_decile,idaci_score,idaopi_rank,idaopi_decile,idaopi_score,geometry,catchment_2024,catchment_2026
BN2 7HL,E00085647,BN2 7HL,BN2  7HL,E01016960,E02003523,536882,0102268,19,37,0.1623931623931624,0.14979757085020243,117,13,3,6,1,23,0.196581197,E00085647,34,2,0,0,30,2,4,3.735042735042735,4,5,4,1,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0587999878864772, 50.8038089948909)",Longhill,Longhill
BN2 7HN,E00085647,BN2 7HN,BN2  7HN,E01016960,E02003523,536832,0102310,23,59,0.19658119658119658,0.2388663967611336,117,13,3,6,1,23,0.196581197,E00085647,34,2,0,0,30,2,4,4.521367521367521,5,8,7,1,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0594929878865205, 50.8041979948912)",Longhill,Longhill
BN2 7HP,E00085645,BN2 7HP,BN2  7HP,E01016960,E02003523,536908,0102230,10,20,0.06896551724137931,0.07220216606498195,144,11,5,7,1,24,0.166666667,E00085645,39,3,0,1,35,0,4,1.6551724137931034,2,3,3,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0584449878865452, 50.8034609948907)",Longhill,Longhill
BN2 7HQ,E00085648,BN2 7HQ,BN2  7HQ,E01016960,E02003523,537043,0102208,26,51,0.2,0.21518987341772153,132,6,0,7,4,17,0.128787879,E00085648,27,1,0,1,24,1,3,3.4000000000000004,3,6,5,1,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0565109878859077, 50.8032259948906)",Longhill,Longhill
BN2 7HR,E00085648,BN2 7HR,BN2  7HR,E01016960,E02003523,537014,0102182,7,18,0.05384615384615385,0.0759493670886076,132,6,0,7,4,17,0.128787879,E00085648,27,1,0,1,24,1,3,0.9153846153846155,1,2,2,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.056959987886225, 50.8030049948904)",Longhill,Longhill
BN2 7HS,E00085648,BN2 7HS,BN2  7HS,E01016960,E02003523,537042,0102164,30,54,0.23076923076923078,0.22784810126582278,132,6,0,7,4,17,0.128787879,E00085648,27,1,0,1,24,1,3,3.9230769230769234,4,6,5,1,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0565689878861702, 50.8028359948903)",Longhill,Longhill
BN2 7HT,E00085645,BN2 7HT,BN2  7HT,E01016960,E02003523,536972,0102463,5,8,0.034482758620689655,0.02888086642599278,144,11,5,7,1,24,0.166666667,E00085645,39,3,0,1,35,0,4,0.8275862068965517,1,1,1,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0574499878848764, 50.8055399948922)",Longhill,Longhill
BN2 7HU,E00085644,BN2 7HU,BN2  7HU,E01016959,E02003523,536997,0102459,1,1,0.006211180124223602,0.003278688524590164,157,9,4,4,1,18,0.114649682,E00085644,29,0,0,1,28,0,1,0.11180124223602483,0,0,0,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0570969878847605, 50.8054979948921)",Longhill,Longhill
BN2 7HX,E00085645,BN2 7HX,BN2  7HX,E01016960,E02003523,536921,0102258,4,8,0.027586206896551724,0.02888086642599278,144,11,5,7,1,24,0.166666667,E00085645,39,3,0,1,35,0,4,0.6620689655172414,1,1,1,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0582499878863156, 50.8037099948909)",Longhill,Longhill
BN2 7HY,E00085645,BN2 7HY,BN2  7HY,E01016960,E02003523,537137,0102208,30,47,0.20689655172413793,0.16967509025270758,144,11,5,7,1,24,0.166666667,E00085645,39,3,0,1,35,0,4,4.9655172413793105,5,7,6,1,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.055204987885393, 50.8032089948906)",Longhill,Longhill
BN2 7HZ,E00085644,BN2 7HZ,BN2  7HZ,E01016959,E02003523,536927,0102471,3,7,0.018633540372670808,0.022950819672131147,157,9,4,4,1,18,0.114649682,E00085644,29,0,0,1,28,0,1,0.33540372670807456,0,1,1,0,Live,E01016959,Brighton and Hove 033C E01016959,29148,9,24224,8,0.058,25989,8,0.046,24353,8,26042,8,26215,8,20403,7,27169,9,26413,9,0.055,24306,8,0.075,"c(-0.0580859878850824, 50.8056229948922)",Longhill,Longhill
BN2 7JB,E00085647,BN2 7JB,BN2  7JB,E01016960,E02003523,536902,0102306,15,25,0.1282051282051282,0.10121457489878542,117,13,3,6,1,23,0.196581197,E00085647,34,2,0,0,30,2,4,2.9487179487179485,3,3,3,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0584739878861433, 50.8041399948912)",Longhill,Longhill
BN2 7JD,E00085648,BN2 7JD,BN2  7JD,E01016960,E02003523,536810,0102257,2,6,0.015384615384615385,0.02531645569620253,132,6,0,7,4,17,0.128787879,E00085648,27,1,0,1,24,1,3,0.26153846153846155,0,1,1,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0598249878869409, 50.8037269948908)",Longhill,Longhill
BN2 7JP,E00085648,BN2 7JP,BN2  7JP,E01016960,E02003523,537044,0102119,23,31,0.17692307692307693,0.1308016877637131,132,6,0,7,4,17,0.128787879,E00085648,27,1,0,1,24,1,3,3.0076923076923077,3,4,3,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0565579878864107, 50.8024319948901)",Longhill,Longhill
BN2 7JR,E00085647,BN2 7JR,BN2  7JR,E01016960,E02003523,536904,0102248,2,4,0.017094017094017096,0.016194331983805668,117,13,3,6,1,23,0.196581197,E00085647,34,2,0,0,30,2,4,0.3931623931623932,0,1,0,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0584949878864663, 50.8036239948908)",Longhill,Longhill
BN2 7JT,E00085645,BN2 7JT,BN2  7JT,E01016960,E02003523,537123,0102242,11,16,0.07586206896551724,0.05776173285198556,144,11,5,7,1,24,0.166666667,E00085645,39,3,0,1,35,0,4,1.8206896551724139,2,2,2,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0553909878852782, 50.8035179948908)",Longhill,Longhill
BN2 7LA,E00085649,BN2 7LA,BN2  7LA,E01016962,E02003523,537736,0104131,3,7,0.02564102564102564,0.028112449799196786,119,15,5,3,0,23,0.193277311,E00085649,33,0,0,1,27,5,6,0.5897435897435898,1,1,1,0,Live,E01016962,Brighton and Hove 033F E01016962,26714,9,28954,9,0.039,28092,9,0.039,24438,8,26289,9,27151,9,3246,1,30674,10,28110,9,0.046,27724,9,0.057,"c(-0.0459889878712267, 50.8203499949029)",Longhill,Longhill
BN2 7LB,E00085647,BN2 7LB,BN2  7LB,E01016960,E02003523,536814,0102432,8,11,0.06837606837606838,0.044534412955465584,117,13,3,6,1,23,0.196581197,E00085647,34,2,0,0,30,2,4,1.5726495726495728,2,2,1,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.059702987885934, 50.8052989948919)",Longhill,Longhill
BN2 7LE,E00085647,BN2 7LE,BN2  7LE,E01016960,E02003523,536883,0102419,3,6,0.02564102564102564,0.024291497975708502,117,13,3,6,1,23,0.196581197,E00085647,34,2,0,0,30,2,4,0.5897435897435898,1,1,1,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0587289878856215, 50.8051659948919)",Longhill,Longhill
BN2 7LG,E00085648,BN2 7LG,BN2  7LG,E01016960,E02003523,537043,0102259,16,22,0.12307692307692308,0.09282700421940929,132,6,0,7,4,17,0.128787879,E00085648,27,1,0,1,24,1,3,2.0923076923076924,2,3,2,0,Live,E01016960,Brighton and Hove 033D E01016960,25410,8,21607,7,0.07,19700,6,0.066,27046,9,27802,9,25234,8,17432,6,15644,5,25188,8,0.062,21358,7,0.091,"c(-0.0565199878856277, 50.8036899948909)",Longhill,Longhill
BN2 8AA,E00085640,BN2 8AA,BN2  8AA,E01016961,E02003523,537711,0102070,7,14,0.06306306306306306,0.056910569105691054,116,14,5,3,1,23,0.198275862,E00085640,47,0,2,4,41,0,6,1.4504504504504503,1,3,2,0,Live,E01016961,Brighton and Hove 033E E01016961,21407,7,18114,6,0.089,18209,6,0.072,20567,7,17904,6,23442,8,18112,6,16782,6,17413,6,0.117,17854,6,0.116,"c(-0.0471159878829688, 50.80183299489)",Longhill,Longhill
BN2 8AB,E00172911,BN2 8AB,BN2  8AB,E01016961,E02003523,538461,0102153,36,59,0.16071428571428573,0.14460784313725492,235,12,13,12,2,39,0.165957447,E00172911,57,2,1,1,50,3,7,6.267857142857143,6,8,7,1,Live,E01016961,Brighton and Hove 033E E01016961,21407,7,18114,6,0.089,18209,6,0.072,20567,7,17904,6,23442,8,18112,6,16782,6,17413,6,0.117,17854,6,0.116,"c(-0.0364479878783311, 50.8024009948908)",Longhill,Longhill
