pcds,oa21,pcd,pcd2,lsoa21,msoa21,oseast1m,osnrth1m,household_count,person_count,pcd_oa_hh_prop,pcd_oa_pers_prop,total_hh,married_couple_dependent_ch,cohabiting_couple_dependent_ch,lone_parent_dependent_ch,other_hh_dependent_ch,all_dependent_ch_hh,prop_hh_dependent_ch,x2021_output_area,total_dep_ch_0_18,asian_dep_ch_0_18,black_dep_ch_0_18,mixed_dep_ch_0_18,white_dep_ch_0_18,other_dep_ch_0_18,non_white_dep_ch_0_18,pcd_dep_ch_hh_count,pcd_dep_ch_hh_count_round,pcd_dep_ch_0_18_total_count,pcd_dep_ch_0_18_white_count,pcd_dep_ch_0_18_non_white_count,postcode_status,lsoa_code,lsoa_name,index_of_multiple_deprivation_rank,index_of_multiple_deprivation_decile,income_rank,income_decile,income_score,employment_rank,employment_decile,employment_score,education_and_skills_rank,education_and_skills_decile,health_and_disability_rank,health_and_disability_decile,crime_rank,crime_decile,barriers_to_housing_services_rank,barriers_to_housing_services_decile,living_environment_rank,living_environment_decile,idaci_rank,idaci_decile,idaci_score,idaopi_rank,idaopi_decile,idaopi_score,geometry,catchment_2024,catchment_2026
BN1 1AB,E00085586,BN1 1AB,BN1  1AB,E01016952,E02003517,530981,0104247,2,7,0.008583690987124463,0.014830508474576272,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.18884120171673818,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141789987908638, 50.8229589949012)",VarndeanStringer,VarndeanStringer
BN1 1AD,E00184774,BN1 1AD,BN1  1AD,E01016952,E02003517,530956,0104106,17,29,0.09239130434782608,0.07323232323232323,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.7391304347826086,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142166987909561, 50.8216909949003)",VarndeanStringer,VarndeanStringer
BN1 1AE,E00085586,BN1 1AE,BN1  1AE,E01016952,E02003517,530988,0104072,6,7,0.02575107296137339,0.014830508474576272,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.5665236051502146,1,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141752987909577, 50.8213839949001)",VarndeanStringer,VarndeanStringer
BN1 1AF,E00085586,BN1 1AF,BN1  1AF,E01016952,E02003517,530996,0104202,9,17,0.03862660944206009,0.036016949152542374,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.849785407725322,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141564987908797, 50.8225449949009)",VarndeanStringer,VarndeanStringer
BN1 1AG,E00085586,BN1 1AG,BN1  1AG,E01016952,E02003517,530905,0104241,9,14,0.03862660944206009,0.029661016949152543,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.849785407725322,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142870987909104, 50.8229219949011)",VarndeanStringer,VarndeanStringer
BN1 1AH,E00184805,BN1 1AH,BN1  1AH,E01016952,E02003517,530904,0104221,3,4,0.043478260869565216,0.03333333333333333,61,1,0,6,0,7,0.114754098,E00184805,9,0,2,1,6,0,3,0.30434782608695654,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142863987909214, 50.822735994901)",VarndeanStringer,VarndeanStringer
BN1 1AJ,E00184774,BN1 1AJ,BN1  1AJ,E01016952,E02003517,530931,0104078,17,28,0.09239130434782608,0.0707070707070707,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.7391304347826086,1,1,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142559987909867, 50.8214509949001)",VarndeanStringer,VarndeanStringer
BN1 1AL,E00184774,BN1 1AL,BN1  1AL,E01016952,E02003517,530901,0104068,71,104,0.3858695652173913,0.26262626262626265,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,3.0869565217391304,3,3,2,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142960987910086, 50.8213619949001)",VarndeanStringer,VarndeanStringer
BN1 1AN,E00184774,BN1 1AN,BN1  1AN,E01016952,E02003517,530863,0104147,7,21,0.03804347826086957,0.05303030303030303,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.30434782608695654,0,1,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.14349998790987, 50.8220859949005)",VarndeanStringer,VarndeanStringer
BN1 1AP,E00184774,BN1 1AP,BN1  1AP,E01016952,E02003517,530852,0104004,10,17,0.05434782608695652,0.04292929292929293,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.43478260869565216,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.143706987910731, 50.8208039948996)",VarndeanStringer,VarndeanStringer
BN1 1BG,E00184805,BN1 1BG,BN1  1BG,E01016952,E02003517,530959,0104175,12,22,0.17391304347826086,0.18333333333333332,61,1,0,6,0,7,0.114754098,E00184805,9,0,2,1,6,0,3,1.2173913043478262,1,2,1,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142099987909159, 50.8223099949007)",VarndeanStringer,VarndeanStringer
BN1 1BP,E00085586,BN1 1BP,BN1  1BP,E01016952,E02003517,531235,0104062,8,15,0.034334763948497854,0.03177966101694915,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.7553648068669527,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.13822398790822, 50.8212319949001)",VarndeanStringer,VarndeanStringer
BN1 1EA,E00085696,BN1 1EA,BN1  1EA,E01016969,E02003517,531146,0104215,18,26,0.0962566844919786,0.08996539792387544,184,2,1,3,0,6,0.032608696,E00085696,8,0,0,0,6,2,2,0.5775401069518716,1,1,1,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.13945998790788, 50.8226339949011)",VarndeanStringer,VarndeanStringer
BN1 1EB,E00085586,BN1 1EB,BN1  1EB,E01016952,E02003517,531102,0104194,13,41,0.055793991416309016,0.08686440677966102,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,1.2274678111587984,1,3,2,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.140063987908238, 50.8224489949009)",VarndeanStringer,VarndeanStringer
BN1 1ED,E00085696,BN1 1ED,BN1  1ED,E01016969,E02003517,531159,0104225,11,23,0.058823529411764705,0.07958477508650519,184,2,1,3,0,6,0.032608696,E00085696,8,0,0,0,6,2,2,0.3529411764705882,0,1,0,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.139271987907748, 50.8227209949011)",VarndeanStringer,VarndeanStringer
BN1 1EF,E00085698,BN1 1EF,BN1  1EF,E01016969,E02003517,531266,0104109,1,1,0.005714285714285714,0.003115264797507788,185,4,4,14,0,22,0.118918919,E00085698,37,5,0,2,29,1,8,0.12571428571428572,0,0,0,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.137795987907789, 50.8216539949005)",VarndeanStringer,VarndeanStringer
BN1 1EG,E00085586,BN1 1EG,BN1  1EG,E01016952,E02003517,531241,0104076,4,7,0.017167381974248927,0.014830508474576272,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.37768240343347637,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.138161987908114, 50.8213629949002)",VarndeanStringer,VarndeanStringer
BN1 1EH,E00085698,BN1 1EH,BN1  1EH,E01016969,E02003517,531282,0104106,3,4,0.017142857142857144,0.012461059190031152,185,4,4,14,0,22,0.118918919,E00085698,37,5,0,2,29,1,8,0.37714285714285717,0,0,0,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.137541987907706, 50.8216169949005)",VarndeanStringer,VarndeanStringer
BN1 1EJ,E00085507,BN1 1EJ,BN1  1EJ,E01016941,E02003520,531376,0104097,5,10,0.026041666666666668,0.02849002849002849,183,5,3,7,2,17,0.092896175,E00085507,37,2,11,2,20,2,17,0.44270833333333337,0,1,1,0,Live,E01016941,Brighton and Hove 030A E01016941,4978,2,8571,3,0.173,9180,3,0.124,13133,4,5103,2,1421,1,8535,3,754,1,2751,1,0.345,5131,2,0.289,"c(-0.136210987907223, 50.8215149949004)",VarndeanStringer,Longhill
BN1 1EL,E00085530,BN1 1EL,BN1  1EL,E01016941,E02003520,531370,0103984,31,58,0.14285714285714285,0.14720812182741116,234,3,1,6,2,12,0.051282051,E00085530,17,4,0,0,10,3,7,1.7142857142857142,2,3,1,1,Live,E01016941,Brighton and Hove 030A E01016941,4978,2,8571,3,0.173,9180,3,0.124,13133,4,5103,2,1421,1,8535,3,754,1,2751,1,0.345,5131,2,0.289,"c(-0.136336987907889, 50.8205009948997)",VarndeanStringer,Longhill
BN1 1EN,E00085530,BN1 1EN,BN1  1EN,E01016941,E02003520,531364,0104038,3,9,0.013824884792626729,0.02284263959390863,234,3,1,6,2,12,0.051282051,E00085530,17,4,0,0,10,3,7,0.16589861751152074,0,0,0,0,Live,E01016941,Brighton and Hove 030A E01016941,4978,2,8571,3,0.173,9180,3,0.124,13133,4,5103,2,1421,1,8535,3,754,1,2751,1,0.345,5131,2,0.289,"c(-0.136429987907629, 50.8209929949)",VarndeanStringer,Longhill
BN1 1EZ,E00085696,BN1 1EZ,BN1  1EZ,E01016969,E02003517,531103,0104239,5,5,0.026737967914438502,0.01730103806228374,184,2,1,3,0,6,0.032608696,E00085696,8,0,0,0,6,2,2,0.16042780748663102,0,0,0,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.140033987907981, 50.8228529949012)",VarndeanStringer,VarndeanStringer
BN1 1FT,E00085586,BN1 1FT,BN1  1FT,E01016952,E02003517,531230,0104048,15,16,0.06437768240343347,0.03389830508474576,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,1.4163090128755365,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.138327987908335, 50.8211139949001)",VarndeanStringer,VarndeanStringer
BN1 1GE,E00085698,BN1 1GE,BN1  1GE,E01016969,E02003517,531183,0104478,4,7,0.022857142857142857,0.021806853582554516,185,4,4,14,0,22,0.118918919,E00085698,37,5,0,2,29,1,8,0.5028571428571429,1,1,1,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.13881298790619, 50.8249829949027)",VarndeanStringer,VarndeanStringer
BN1 1GS,E00085586,BN1 1GS,BN1  1GS,E01016952,E02003517,531101,0104163,5,10,0.02145922746781116,0.0211864406779661,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.4721030042918455,0,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.140089987908418, 50.8221699949007)",VarndeanStringer,VarndeanStringer
BN1 1GX,E00085698,BN1 1GX,BN1  1GX,E01016969,E02003517,531209,0104402,7,15,0.04,0.04672897196261682,185,4,4,14,0,22,0.118918919,E00085698,37,5,0,2,29,1,8,0.88,1,2,1,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.138499987906474, 50.8242999949023)",VarndeanStringer,VarndeanStringer
BN1 1HA,E00085586,BN1 1HA,BN1  1HA,E01016952,E02003517,531019,0104162,3,6,0.012875536480686695,0.012711864406779662,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.2832618025751073,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141280987908898, 50.8221859949007)",VarndeanStringer,VarndeanStringer
BN1 1HB,E00085586,BN1 1HB,BN1  1HB,E01016952,E02003517,531056,0104160,10,22,0.04291845493562232,0.046610169491525424,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.944206008583691,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.14072898790869, 50.8221539949007)",VarndeanStringer,VarndeanStringer
BN1 1HD,E00085586,BN1 1HD,BN1  1HD,E01016952,E02003517,531084,0104157,5,10,0.02145922746781116,0.0211864406779661,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.4721030042918455,0,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.140332987908549, 50.8221199949007)",VarndeanStringer,VarndeanStringer
BN1 1HE,E00085586,BN1 1HE,BN1  1HE,E01016952,E02003517,531024,0104071,2,4,0.008583690987124463,0.00847457627118644,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.18884120171673818,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141242987909377, 50.8213669949001)",VarndeanStringer,VarndeanStringer
BN1 1HF,E00085586,BN1 1HF,BN1  1HF,E01016952,E02003517,531050,0104062,1,4,0.004291845493562232,0.00847457627118644,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.09442060085836909,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.140848987909273, 50.8212739949001)",VarndeanStringer,VarndeanStringer
BN1 1HG,E00085586,BN1 1HG,BN1  1HG,E01016952,E02003517,531133,0104033,11,19,0.04721030042918455,0.04025423728813559,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,1.0386266094420602,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.139681987908963, 50.8209949948999)",VarndeanStringer,VarndeanStringer
BN1 1HH,E00085586,BN1 1HH,BN1  1HH,E01016952,E02003517,531128,0104084,22,54,0.0944206008583691,0.11440677966101695,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,2.0772532188841204,2,4,3,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.139762987908714, 50.8214599949003)",VarndeanStringer,VarndeanStringer
BN1 1HJ,E00085586,BN1 1HJ,BN1  1HJ,E01016952,E02003517,531122,0104109,8,18,0.034334763948497854,0.038135593220338986,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.7553648068669527,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.139838987908609, 50.8216859949004)",VarndeanStringer,VarndeanStringer
BN1 1HL,E00085586,BN1 1HL,BN1  1HL,E01016952,E02003517,531161,0104086,14,31,0.060085836909871244,0.06567796610169492,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,1.3218884120171674,1,2,2,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.139265987908507, 50.8214649949003)",VarndeanStringer,VarndeanStringer
BN1 1HN,E00085586,BN1 1HN,BN1  1HN,E01016952,E02003517,531190,0104049,2,5,0.008583690987124463,0.01059322033898305,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.18884120171673818,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.138894987908557, 50.8211319949)",VarndeanStringer,VarndeanStringer
BN1 1HP,E00085586,BN1 1HP,BN1  1HP,E01016952,E02003517,531158,0103954,6,16,0.02575107296137339,0.03389830508474576,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.5665236051502146,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.13938298790927, 50.8202849948994)",VarndeanStringer,VarndeanStringer
BN1 1HQ,E00085586,BN1 1HQ,BN1  1HQ,E01016952,E02003517,531178,0103967,18,40,0.07725321888412018,0.0847457627118644,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,1.699570815450644,2,3,2,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.139094987909083, 50.8203969948995)",VarndeanStringer,VarndeanStringer
BN1 1JG,E00184774,BN1 1JG,BN1  1JG,E01016952,E02003517,530923,0104061,5,8,0.02717391304347826,0.020202020202020204,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,0.21739130434782608,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142678987910009, 50.8212999949)",VarndeanStringer,VarndeanStringer
BN1 1JS,E00085586,BN1 1JS,BN1  1JS,E01016952,E02003517,531115,0103951,10,11,0.04291845493562232,0.023305084745762712,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.944206008583691,1,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.139993987909532, 50.8202679948994)",VarndeanStringer,VarndeanStringer
BN1 1NA,E00184774,BN1 1NA,BN1  1NA,E01016952,E02003517,530884,0103974,50,177,0.2717391304347826,0.44696969696969696,191,2,6,0,0,8,0.041884817,E00184774,10,0,0,0,7,3,3,2.1739130434782608,2,4,3,1,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.143263987910717, 50.8205269948995)",VarndeanStringer,VarndeanStringer
BN1 1ND,E00085586,BN1 1ND,BN1  1ND,E01016952,E02003517,531014,0104041,4,11,0.017167381974248927,0.023305084745762712,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.37768240343347637,0,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.141394987909602, 50.8210999948999)",VarndeanStringer,VarndeanStringer
BN1 1NE,E00085586,BN1 1NE,BN1  1NE,E01016952,E02003517,531143,0103928,4,5,0.017167381974248927,0.01059322033898305,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.37768240343347637,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.139604987909501, 50.8200549948993)",VarndeanStringer,VarndeanStringer
BN1 1NF,E00085586,BN1 1NF,BN1  1NF,E01016952,E02003517,531195,0103886,12,28,0.05150214592274678,0.059322033898305086,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,1.1330472103004292,1,2,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.138882987909438, 50.819665994899)",VarndeanStringer,VarndeanStringer
BN1 1NH,E00085586,BN1 1NH,BN1  1NH,E01016952,E02003517,531245,0103954,16,26,0.06866952789699571,0.05508474576271186,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,1.5107296137339055,2,2,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.138120987908767, 50.8202589948994)",VarndeanStringer,VarndeanStringer
BN1 1NJ,E00085586,BN1 1NJ,BN1  1NJ,E01016952,E02003517,531207,0103941,4,9,0.017167381974248927,0.019067796610169493,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.37768240343347637,0,1,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.138692987909064, 50.8201569948994)",VarndeanStringer,VarndeanStringer
BN1 1NN,E00085586,BN1 1NN,BN1  1NN,E01016952,E02003517,531207,0103953,3,7,0.012875536480686695,0.014830508474576272,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.2832618025751073,0,0,0,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.138660987908989, 50.8202589948994)",VarndeanStringer,VarndeanStringer
BN1 1RB,E00085696,BN1 1RB,BN1  1RB,E01016969,E02003517,531016,0104429,2,4,0.0106951871657754,0.01384083044982699,184,2,1,3,0,6,0.032608696,E00085696,8,0,0,0,6,2,2,0.0641711229946524,0,0,0,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.141200987907415, 50.8245799949024)",VarndeanStringer,VarndeanStringer
BN1 1RD,E00085696,BN1 1RD,BN1  1RD,E01016969,E02003517,531102,0104327,12,26,0.06417112299465241,0.08996539792387544,184,2,1,3,0,6,0.032608696,E00085696,8,0,0,0,6,2,2,0.3850267379679145,0,1,1,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.140016987907495, 50.8236439949017)",VarndeanStringer,VarndeanStringer
BN1 1RF,E00085696,BN1 1RF,BN1  1RF,E01016969,E02003517,531038,0104423,8,12,0.0427807486631016,0.04152249134948097,184,2,1,3,0,6,0.032608696,E00085696,8,0,0,0,6,2,2,0.2566844919786096,0,0,0,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.140918987907332, 50.8245279949024)",VarndeanStringer,VarndeanStringer
BN1 1RH,E00085586,BN1 1RH,BN1  1RH,E01016952,E02003517,530926,0104272,5,10,0.02145922746781116,0.0211864406779661,241,6,11,3,2,22,0.091286307,E00085586,32,5,0,1,24,2,8,0.4721030042918455,0,1,1,0,Live,E01016952,Brighton and Hove 027A E01016952,8856,3,18958,6,0.084,19331,6,0.068,17737,6,14165,5,130,1,5842,2,1483,1,15548,5,0.134,6717,3,0.254,"c(-0.142533987908805, 50.8231899949014)",VarndeanStringer,VarndeanStringer
BN1 1RJ,E00085697,BN1 1RJ,BN1  1RJ,E01016969,E02003517,530929,0104422,15,30,0.08771929824561403,0.09584664536741214,177,4,1,12,2,19,0.107344633,E00085697,26,3,3,1,19,0,7,1.6666666666666665,2,2,2,1,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.142465987907956, 50.8245429949023)",VarndeanStringer,VarndeanStringer
BN1 1RL,E00085697,BN1 1RL,BN1  1RL,E01016969,E02003517,530940,0104475,7,14,0.04093567251461988,0.04472843450479233,177,4,1,12,2,19,0.107344633,E00085697,26,3,3,1,19,0,7,0.7777777777777777,1,1,1,0,Live,E01016969,Brighton and Hove 027E E01016969,4311,2,3992,2,0.25,7571,3,0.139,16187,5,4655,2,912,1,6704,3,5065,2,2,1,0.798,7482,3,0.24,"c(-0.142290987907598, 50.8250169949026)",VarndeanStringer,VarndeanStringer
