destination_id,sum_total_cost
114579,44739.4903532132
114580,45333.7868357844
114581,88707.4205900034
114606,47879.8488512542
114607,42363.9481341792
114608,59907.9719531995
114611,34954.9170688056
136164,71501.7177059757
137063,76611.5985842974
139409,58246.441828522
